name,price,stock
2020 Toyota  Camry  XSE," $29,808",LU510443
2020 Toyota  Camry  XSE," $29,368",LU509422
2020 Toyota  Camry  Hybrid XLE," $33,007",LU546073
2020 Toyota  Camry  Hybrid XLE," $34,956",LU543545
2020 Toyota  Camry  Hybrid XLE," $34,965",LU541332
2020 Toyota  C-HR  LE," $22,406",LR115752
2020 Toyota  Camry  LE," $24,848",LU999324
2020 Toyota  Camry  LE," $24,757",LU992116
2020 Toyota  Camry  LE," $24,912",LU988864
2020 Toyota  C-HR  XLE," $25,335",L1093404
2020 Toyota  C-HR  LE," $22,411",LR117996
2020 Toyota  Camry  LE," $24,952",LU995303
2020 Toyota  Camry  LE," $26,624",LU40G966
2020 Toyota  C-HR  LE," $22,406",LR115753
2020 Toyota  Prius  LE," $25,790",L112GK89
2020 Honda  Civic Sedan  LX," $21,755",LE216370
2020 Honda  Civic Sedan  LX," $21,755",LE215285
2020 Chevrolet  Equinox  LS," $21,331",LS698941
2020 Honda  Civic Sedan  LX," $21,755",LE215916
2020 Chevrolet  Equinox  LS," $21,331",L6259939
2020 Honda  Civic Sedan  LX," $21,755",LE216901
2020 Subaru  Impreza  Base Trim Level," $21,294",L3735022
2020 Subaru  Impreza  Base," $21,294",L3734962
2020 Subaru  Impreza  Base," $21,294",L3735421
2020 Subaru  Impreza  Base Trim Level," $21,294",L3730490
2020 Subaru  Impreza  Base Trim Level," $21,294",L3734925
2020 Subaru  Impreza  Base Trim Level," $21,294",L3730389
2020 Subaru  Impreza  Base," $21,294",L3735234
2020 Subaru  Impreza  Base Trim Level," $21,294",L3734891
2020 Subaru  Impreza  Base," $21,294",L3735418
2020 Chevrolet  Equinox  LS," $22,796",LS698911
2020 Ford  EcoSport  S," $22,555",LC385913
2020 Ford  EcoSport  S," $22,100",LC394397
2020 Volkswagen  Jetta  SE," $22,440",LM079513
2020 Ford  Fusion Hybrid  SE," $22,361",LR235696
2020 Ford  EcoSport  S," $22,100",LC394394
2020 Ford  EcoSport  S," $22,100",LC385912
2020 Ford  EcoSport  S," $22,100",LC394396
2020 Ford  EcoSport  S," $22,100",LC388608
2020 Chevrolet  Equinox  LS," $21,930",L6258176
2020 Honda  Civic Sedan  LX," $21,755",LE215499
2020 Volkswagen  Jetta  SE," $22,440",LM083980
2020 Volkswagen  Jetta  SE," $22,870",LM082320
2020 Chevrolet  Equinox  LS," $23,395",LS698912
2020 Subaru  Impreza  Premium," $23,319",L3734809
2020 Ford  EcoSport  SE," $23,080",LC338152
2020 Subaru  Impreza  Premium," $22,991",L3615595
2020 Ford  EcoSport  SE," $23,080",LC326430
2020 Subaru  Impreza  Premium," $22,991",L3615472
2020 Volkswagen  Jetta  R-Line," $22,905",LM087536
2020 Subaru  Impreza  Premium," $22,991",L3615592
2020 Subaru  Impreza  Premium," $22,991",L3615568
2020 Chevrolet  Equinox  LS," $23,395",LS673837
2020 Ford  Escape  SE," $22,990",LUC34702
2020 Volkswagen  Jetta  SE," $22,870",LM096776
2020 Volkswagen  Jetta  SE," $22,870",LM084220
2020 Subaru  Impreza  Premium," $22,991",L3615162
2020 Ford  Escape  SE," $23,549",LUC15784
2020 Subaru  Impreza  Premium," $23,519",L3735559
2020 Honda  HR-V  LX," $23,540",LM737828
2020 Ford  Escape  SE," $23,493",LUC63418
2020 Ford  Escape  SE," $23,493",LUC63893
2020 Subaru  Impreza  Premium," $23,519",L3734964
2020 Ford  Escape  SE," $23,493",LUC61806
2020 Ford  Escape  SE," $23,493",LUC69237
2020 Subaru  Legacy  Base Trim Level," $23,813",L3033875
2020 Chevrolet  Equinox  LS," $23,395",LS677520
2020 Ford  Escape  SE," $23,493",LUC73241
2020 Ford  Escape  SE," $23,493",LUC62424
2020 Ford  Escape  SE," $23,493",LUC61812
2020 Ford  Escape  SE," $23,493",LUC72433
2020 Ford  Escape  SE," $23,493",LUC70992
2020 Subaru  Impreza  Premium," $24,740",L3615498
2020 Honda  Civic Sedan  EX," $24,905",LE221536
2020 Ford  Escape  SE," $24,705",LUC65791
2020 Ford  Escape  SE," $24,146",LUC65375
2020 Ford  Escape  S," $25,082",LUB96887
2020 Subaru  Impreza  Sport," $24,282",L3615227
2020 Ford  Escape  SE," $23,864",LUC69313
2020 Ford  Escape  SE," $24,146",LUC71994
2020 Ford  Escape  SE," $24,146",LUC64029
2020 Ford  Escape  SE," $24,146",LUC68262
2020 Ford  EcoSport  SE," $24,099",LC338060
2020 Dodge  Journey  SE Value," $25,170",LT260762
2020 Ford  EcoSport  SE," $25,872",LC392752
2020 Chevrolet  Equinox  LT," $25,774",LL324852
2020 Ford  EcoSport  SES," $25,832",LC331894
2020 Ford  EcoSport  SE," $25,325",LC392751
2020 Ford  EcoSport  SE," $25,325",LC392754
2020 Dodge  Journey  SE Value," $25,170",LT260763
2020 Subaru  Impreza  Premium," $25,268",L3735278
2020 Volkswagen  Passat  2.0T R-Line," $25,296",LC027821
2020 Volkswagen  Jetta  SEL," $25,174",LM088530
2020 Chevrolet  Equinox  LT," $25,940",L6285167
2020 Ford  EcoSport  SE," $25,780",LC364036
2020 Ford  EcoSport  SE," $25,872",LC392753
2020 Chevrolet  Equinox  LT," $25,966",LL304342
2020 Chevrolet  Equinox  LT," $26,311",L6262483
2020 Ford  EcoSport  SE," $26,148",LC363845
2020 Ford  EcoSport  SE," $26,148",LC365033
2020 Chevrolet  Equinox  LT," $26,136",LL322032
2020 Dodge  Journey  SE Value," $26,015",LT249351
2020 Ford  EcoSport  Titanium," $26,345",LC353965
2020 Ford  EcoSport  SE," $26,148",LC368804
